concept,boxes,unified_class,method,via
Paragorgia arborea,43,reef,ancestry,Anthozoa;Gorgonacea
Paralomis,43,benthic_invert,ancestry,Decapoda
Laqueus californicus,43,,unresolved,
Munnopsidae,42,benthic_invert,ancestry,Isopoda
Myctophidae,41,fish,exact,Myctophidae
Sebastes diploproa,41,fish,ancestry,Actinopterygii;Sebastes
Cystocrepis setigera,40,benthic_invert,ancestry,Echinoidea
Parazoanthidae,39,,unresolved,
Pandalopsis ampla,39,,unresolved,
coiled fecal cast,38,,unresolved,
Hydroidolina,38,gelatinous,ancestry,Hydrozoa
Apostichopus leukothele,38,benthic_invert,ancestry,Holothuroidea
Bathyraja abyssicola,38,fish,ancestry,Elasmobranchii;Rajiformes
Provannidae,38,benthic_invert,ancestry,Gastropoda
Aegina,37,gelatinous,ancestry,Hydrozoa
Amphipoda,36,,unresolved,
Walteria,36,,unresolved,
Psathyrometra fragilis,36,benthic_invert,ancestry,Crinoidea
Echinocrepis rostrata,35,benthic_invert,ancestry,Echinoidea
Galatheidae,35,benthic_invert,ancestry,Decapoda
Solasteridae,35,benthic_invert,ancestry,Asteroidea
Bathochordaeus,35,gelatinous,ancestry,Larvacea
Hydrozoa,34,gelatinous,exact,Hydrozoa
Cystechinus loveni,34,benthic_invert,ancestry,Echinoidea
Actiniidae sp. 1,34,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Eptatretus,32,,unresolved,
Rajiformes,32,fish,exact,Rajiformes
Paralomis multispina,32,benthic_invert,ancestry,Decapoda
Chrysopathes speciosa,32,,unresolved,
Mulloidichthys flavolineatus,32,,unresolved,
Antimora microlepis,31,fish,ancestry,Actinopterygii
Hymenaster,31,benthic_invert,ancestry,Asteroidea
Sabellidae,30,benthic_invert,ancestry,Polychaeta
Metridium farcimen,30,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Acanthascinae,30,reef,ancestry,Porifera
Paradiopatra,29,benthic_invert,ancestry,Polychaeta
Chiroteuthis calyx,29,,unresolved,
Psamminidae,29,,unresolved,
Goniasteridae,29,benthic_invert,ancestry,Asteroidea
Cnemidocarpa,29,,unresolved,
brittle star,29,,unresolved,
Hyalonema (Oonema) bianchoratum,28,reef,ancestry,Porifera
Abyssocucumis abyssorum,28,benthic_invert,ancestry,Holothuroidea
Tromikosoma panamense,28,benthic_invert,ancestry,Echinoidea
Pannychia,28,benthic_invert,ancestry,Holothuroidea
Parastenella,27,reef,ancestry,Anthozoa;Gorgonacea
Benthocodon,26,gelatinous,ancestry,Hydrozoa
Muusoctopus robustus,26,benthic_invert,ancestry,Octopoda
Florometra serratissima,26,benthic_invert,ancestry,Crinoidea
Coryphaenoides acrolepis-filifer complex,26,fish,ancestry,Actinopterygii;Macrouridae
Isididae,25,reef,ancestry,Anthozoa;Gorgonacea
Graneledone boreopacifica,25,benthic_invert,ancestry,Octopoda
Actinostolidae,25,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Mediaster aequalis,25,benthic_invert,ancestry,Asteroidea
Krill molt,25,,unresolved,
Praya dubia,24,gelatinous,ancestry,Hydrozoa;Praya;Siphonophorae
Ascidiacea,24,,unresolved,
Lithodidae,24,benthic_invert,ancestry,Decapoda
Bolocera,24,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Lycenchelys,23,fish,ancestry,Actinopterygii;Zoarcidae
Epizoanthus stellaris,23,reef,ancestry,Anthozoa
Bathydorus laevis pseudospinosus,23,reef,ancestry,Porifera
Enteroctopus dofleini,23,benthic_invert,ancestry,Octopoda
Sebastolobus altivelis,23,fish,ancestry,Actinopterygii;Sebastolobus
Neptunea,22,benthic_invert,ancestry,Gastropoda
Scorpaenidae,22,fish,exact,Scorpaenidae
Keratoisidinae,22,reef,ancestry,Anthozoa;Gorgonacea
Pennatuloidea,22,reef,ancestry,Anthozoa;Gorgonacea
Sebastidae,22,fish,ancestry,Actinopterygii
Eumalacostraca,22,,unresolved,
Acanthoptilum,22,reef,ancestry,Anthozoa;Gorgonacea
Chaetognatha,21,,unresolved,
Stylasterias forreri,21,benthic_invert,ancestry,Asteroidea
Ostiactis pearseae,21,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Mediaster,21,benthic_invert,ancestry,Asteroidea
eggcase,21,,unresolved,
Pennatula phosphorea,21,reef,ancestry,Anthozoa;Gorgonacea
Funiculina-Halipteris complex,21,,unresolved,
Clavularia,21,reef,ancestry,Anthozoa;Gorgonacea
Coryphaenoides acrolepis,21,fish,ancestry,Actinopterygii;Macrouridae
Paguroidea,20,benthic_invert,ancestry,Decapoda
Bathochordaeus sinker,20,,unresolved,
Farrea occa,20,reef,ancestry,Porifera
Buccinidae sp. 1,20,benthic_invert,ancestry,Gastropoda
Aurelia aurita,20,gelatinous,ancestry,Scyphozoa
can,19,debris,ancestry,trash
Actinopteri,19,fish,ancestry,Actinopterygii
Malacalcyonacea,19,reef,ancestry,Anthozoa;Gorgonacea
Bathochordaeus mcnutti,19,gelatinous,ancestry,Larvacea
Moloha faxoni,19,benthic_invert,ancestry,Decapoda
Cnidaria,19,,unresolved,
salp chain,19,,unresolved,
Siboglinidae,19,benthic_invert,ancestry,Polychaeta
Plesionika,19,benthic_invert,ancestry,Decapoda
Careproctus,18,fish,exact,Careproctus
Bathysiphon major,18,,unresolved,
Anthomastinae,18,reef,ancestry,Anthozoa;Gorgonacea
Mitrocoma,18,gelatinous,ancestry,Hydrozoa
Peniagone gracilis,17,benthic_invert,ancestry,Holothuroidea
Pagurus tanneri,17,benthic_invert,ancestry,Decapoda;Paguridae
Pectinidae,17,benthic_invert,ancestry,Bivalvia
Sclerothamnus,17,,unresolved,
cup coral skeleton,17,,unresolved,
Corolla,17,benthic_invert,ancestry,Gastropoda
Mysida,17,,unresolved,
Faxiella abietina,17,,unresolved,
Psamminidae sp. 1,17,,unresolved,
Teuthoidea,17,,unresolved,
Hormathiidae sp. 1,17,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Phyllospadix-Zostera detritus,16,,unresolved,
Kophobelemnon sp. 1,16,reef,ancestry,Anthozoa;Gorgonacea
Protoptilum sp. 1,16,reef,ancestry,Anthozoa;Gorgonacea
cable,15,equipment,ancestry,equipment
Porites,15,,unresolved,
Cirripedia,15,,unresolved,
Acesta,15,benthic_invert,ancestry,Bivalvia
Pterasteridae,15,benthic_invert,ancestry,Asteroidea
collection device,15,,unresolved,
Pteraster,15,benthic_invert,ancestry,Asteroidea
Callistephanus kofoidi,15,reef,ancestry,Anthozoa;Gorgonacea
lights,15,equipment,ancestry,equipment
Corallimorphus,14,reef,ancestry,Anthozoa
Polychaeta tube,14,,unresolved,
Lycodes cortezianus,14,fish,ancestry,Actinopterygii;Zoarcidae
Asbestopluma monticola,14,reef,ancestry,Porifera
Fariometra parvula,14,benthic_invert,ancestry,Crinoidea
Bathyraja spinosissima,14,fish,ancestry,Elasmobranchii;Rajiformes
Medusae,14,,unresolved,
Isidella tentaculum,14,reef,ancestry,Anthozoa;Gorgonacea
Stichopathes spiessi,14,,unresolved,
Coryphaenoides armatus-yaquinae complex,14,fish,ancestry,Actinopterygii;Macrouridae
Prayidae,14,gelatinous,ancestry,Hydrozoa;Siphonophorae
Paragorgia sp. 1,14,reef,ancestry,Anthozoa;Gorgonacea
Spirobranchus,14,,unresolved,
Brachiopoda,14,,unresolved,
Bolinopsis,13,gelatinous,exact,Bolinopsis
Asteronyx longifissus,13,benthic_invert,ancestry,Ophiuroidea
Bryozoa,13,,unresolved,
Sebastomus complex,13,fish,ancestry,Actinopterygii;Sebastes
Calycophorae,13,gelatinous,ancestry,Hydrozoa;Siphonophorae
Lillipathes,13,reef,ancestry,Anthozoa
Pyrosoma,13,,unresolved,
Lobata,13,gelatinous,ancestry,Ctenophora
Scalpellidae,13,,unresolved,
Heteropolypus,13,reef,ancestry,Anthozoa;Gorgonacea
Gonatus,12,,unresolved,
Peniagone vitrea,12,benthic_invert,ancestry,Holothuroidea
Poralia rufescens,12,gelatinous,ancestry,Poralia;Scyphozoa
Demospongiae,12,reef,ancestry,Porifera
Acanthogorgia,12,reef,ancestry,Anthozoa;Gorgonacea
Stomphia,12,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Paraphelliactis pabista,12,,unresolved,
Acesta sphoni,12,benthic_invert,ancestry,Bivalvia
Liponema,12,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Mycale sp. 1,12,reef,ancestry,Porifera
Laetmogonidae,12,benthic_invert,ancestry,Holothuroidea
Asbestopluma rickettsi,12,reef,ancestry,Porifera
Glyptocephalus zachirus,11,fish,ancestry,Actinopterygii;Pleuronectiformes
Brachyura,11,benthic_invert,ancestry,Decapoda
shell,11,,unresolved,
Bathyraja microtrachys,11,fish,ancestry,Elasmobranchii;Rajiformes
Strongylocentrotus,11,benthic_invert,ancestry,Echinoidea
Mycale,11,reef,ancestry,Porifera
narella sp.,11,,unresolved,
Caryophylliidae,11,reef,ancestry,Anthozoa;Scleractinia
Antedonoidea,11,benthic_invert,ancestry,Crinoidea
Mobula alfredi,11,,unresolved,
Bathylagidae,10,fish,exact,Bathylagidae
Octopoda,10,benthic_invert,exact,Octopoda
Poeobius meseres,10,benthic_invert,ancestry,Polychaeta
Beringraja rhina,10,fish,ancestry,Elasmobranchii;Rajiformes
Tjalfiella,10,gelatinous,ancestry,Ctenophora
Isidella,10,reef,ancestry,Anthozoa;Gorgonacea
Thenea muricata,10,reef,ancestry,Porifera
Pycnogonida,10,,unresolved,
Iridogorgia,10,reef,ancestry,Anthozoa;Gorgonacea
Mitrocoma cellularia,10,gelatinous,ancestry,Hydrozoa
Oneirophanta mutabilis complex,10,benthic_invert,ancestry,Holothuroidea
Appendicularia,10,gelatinous,ancestry,Larvacea
Actinostoloidea,10,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Akoya platinum,10,benthic_invert,ancestry,Gastropoda
Latrunculia (Latrunculia) austini,10,reef,ancestry,Porifera
Crossaster borealis,10,benthic_invert,ancestry,Asteroidea
Xenophyophoroidea,10,,unresolved,
Gersemia juliepackardae,10,reef,ancestry,Anthozoa;Gorgonacea
Lamellibrachia,10,benthic_invert,ancestry,Polychaeta
Chrysaora fuscescens,10,gelatinous,ancestry,Scyphozoa
Crustacea,9,,unresolved,
Ptychogena lactea,9,gelatinous,ancestry,Hydrozoa
Octopus californicus,9,benthic_invert,ancestry,Octopoda
Aporocidaris milleri,9,benthic_invert,ancestry,Echinoidea
Ophiacanthidae,9,benthic_invert,ancestry,Ophiuroidea
Sebastes rufus,9,fish,ancestry,Actinopterygii;Sebastes
Polynoidae,9,benthic_invert,ancestry,Polychaeta
metal,9,debris,ancestry,trash
Cerianthidae,9,reef,ancestry,Anthozoa
Caulophacus,9,reef,ancestry,Porifera
Crossaster,9,benthic_invert,ancestry,Asteroidea
Pasiphaea,9,benthic_invert,ancestry,Decapoda
Antedonidae,9,benthic_invert,ancestry,Crinoidea
Hyalonema (Corynonema) populiferum,9,reef,ancestry,Porifera
whale carcass,9,,unresolved,
polypropylene line,9,debris,ancestry,trash
Bathochordaeus charon,9,gelatinous,ancestry,Larvacea
Paguridae,8,benthic_invert,exact,Paguridae
Actinaria,8,,unresolved,
spicule,8,,unresolved,
Corallinales,8,,unresolved,
Sebastolobus alascanus,8,fish,ancestry,Actinopterygii;Sebastolobus
Colossendeis,8,,unresolved,
Deepstaria reticulum,8,gelatinous,ancestry,Scyphozoa
Lepidisis,8,reef,ancestry,Anthozoa;Gorgonacea
sea fan,8,,unresolved,
Munida,8,benthic_invert,ancestry,Decapoda
Tomopteris,8,benthic_invert,ancestry,Polychaeta
bony fish,8,,unresolved,
Sabellida,8,benthic_invert,ancestry,Polychaeta
Axoniderma kensmithi,8,reef,ancestry,Porifera
talus,8,,unresolved,
Stomphia didemon,8,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Tritonia tetraquetra,8,benthic_invert,ancestry,Gastropoda
Didemnum,8,,unresolved,
Ectenagena elongata,8,benthic_invert,ancestry,Bivalvia
Bargmannia elongata,8,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Myxoderma platyacanthum,8,benthic_invert,ancestry,Asteroidea
Halipteris californica,8,,unresolved,
Lutjanus mahogoni,8,,unresolved,
Vacatina,7,,unresolved,
Peniagone papillata,7,benthic_invert,ancestry,Holothuroidea
Bathybembix,7,benthic_invert,ancestry,Gastropoda
Lycodes diapterus,7,fish,ancestry,Actinopterygii;Zoarcidae
Taonius,7,,unresolved,
Sicyonis,7,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Calyptraeidae,7,,unresolved,
Neolithodes diomedeae,7,benthic_invert,ancestry,Decapoda
Bathypathes,7,reef,ancestry,Anthozoa
Tergivelum baldwinae,7,,unresolved,
Dendrophylliidae skeleton,7,,unresolved,
Elpidia sp. A,7,benthic_invert,ancestry,Holothuroidea
object,7,,unresolved,
Schizopathidae,7,reef,ancestry,Anthozoa
Iosactis vagabunda,7,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Sebastes melanostomus,7,fish,ancestry,Actinopterygii;Sebastes
feather star,7,,unresolved,
Annelida,7,,unresolved,
Sebastes chlorostictus,7,fish,ancestry,Actinopterygii;Sebastes
Lophaster,7,benthic_invert,ancestry,Asteroidea
Gorgonocephalus eucnemis,7,benthic_invert,ancestry,Ophiuroidea
Retimohnia sp. A,7,benthic_invert,ancestry,Gastropoda
Salpa fusiformis,7,gelatinous,ancestry,Salpida
Nanomia,6,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Chlorophyta,6,flora,exact,Chlorophyta
Rhodophycota,6,,unresolved,
Histioteuthis heteropsis,6,,unresolved,
Balanophyllia,6,reef,ancestry,Anthozoa;Scleractinia
Rhodophyta,6,,unresolved,
Plantae detritus,6,,unresolved,
"Farrea ""turbocharger""",6,,unresolved,
Mysidacea,6,,unresolved,
Chorilia,6,benthic_invert,ancestry,Decapoda
Liparidae,6,fish,ancestry,Actinopterygii
Elpidiidae,6,benthic_invert,ancestry,Holothuroidea
coral,6,,unresolved,
Cidaroidea,6,benthic_invert,ancestry,Echinoidea
sea star,6,,unresolved,
Vampyroteuthis infernalis,6,,unresolved,
actiniarian,6,,unresolved,
plastic bag,6,debris,ancestry,trash
Cydippida,6,gelatinous,ancestry,Ctenophora
Culeolus barryi,6,,unresolved,
Apolemia,6,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Parapaguridae,6,benthic_invert,ancestry,Decapoda
Neoloricata,6,,unresolved,
Antedonoidea sp. 1,6,benthic_invert,ancestry,Crinoidea
Synaphobranchidae,6,fish,ancestry,Actinopterygii
Staurocalyptus solidus,6,reef,ancestry,Porifera
sinker,6,,unresolved,
Bathysiphon,6,,unresolved,
Mola mola,6,fish,ancestry,Actinopterygii
Paelopatides sp.,6,,unresolved,
Apostichopus,6,benthic_invert,ancestry,Holothuroidea
Haemulidae,6,fish,ancestry,Actinopterygii
Smithsonius dorothea,5,,unresolved,
Chrysogorgia sp.,5,,unresolved,
Arthropoda,5,,unresolved,
Bathyphellia australis,5,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Benthodytes sp. 1,5,benthic_invert,ancestry,Holothuroidea
Anthoathecata,5,gelatinous,ancestry,Hydrozoa
Asthenactis fisheri,5,benthic_invert,ancestry,Asteroidea
Advhena magnifica,5,,unresolved,
shell fragment,5,,unresolved,
Sipuncula,5,,unresolved,
Zeuxokoma,5,,unresolved,
ink,5,,unresolved,
Mysidae,5,,unresolved,
Trissopathes,5,reef,ancestry,Anthozoa
Psychrolutes phrictus,5,fish,ancestry,Actinopterygii
Lamoha longirostris,5,,unresolved,
Bolocera kensmithi,5,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Vanhoeffenura pulchra,5,benthic_invert,ancestry,Isopoda
Lampocteis cruentiventer,5,gelatinous,ancestry,Ctenophora
Phronima sedentaria,5,,unresolved,
Hydrolagus colliei,5,fish,ancestry,Chimaeriformes
Majoidea,5,benthic_invert,ancestry,Decapoda
Modeeria rotunda,5,gelatinous,ancestry,Hydrozoa
Ceramaster,5,benthic_invert,ancestry,Asteroidea
Acanthascinae sp. 2,5,reef,ancestry,Porifera
Synallactes,5,benthic_invert,ancestry,Holothuroidea
Callistephanus simplex,5,reef,ancestry,Anthozoa;Gorgonacea
Careproctus melanurus,5,fish,ancestry,Actinopterygii;Careproctus
Aulosphaera,5,,unresolved,
Phelliactis,5,,unresolved,
Calyptogena extenta,5,benthic_invert,ancestry,Bivalvia
Atolla wyvillei,5,gelatinous,ancestry,Atolla;Scyphozoa
Macrocystis pyrifera,4,flora,exact,Macrocystis pyrifera
Fungiacyathus (Bathyactis) marenzelleri,4,reef,ancestry,Anthozoa;Scleractinia
Hydractiniidae,4,gelatinous,ancestry,Hydrozoa
Chirostylidae,4,benthic_invert,ancestry,Decapoda
Holothuroidea sp. 8,4,benthic_invert,ancestry,Holothuroidea
carapace,4,,unresolved,
shrimp,4,,unresolved,
Paralomis verrilli,4,benthic_invert,ancestry,Decapoda
Lebbeus,4,benthic_invert,ancestry,Decapoda
Glyphocrangon vicaria,4,benthic_invert,ancestry,Decapoda
Colossendeidae,4,,unresolved,
Synallactidae gen. et sp. indet.,4,benthic_invert,ancestry,Holothuroidea
Rathbunaster,4,benthic_invert,ancestry,Asteroidea
Bathycrinidae,4,benthic_invert,ancestry,Crinoidea
Eulimidae,4,benthic_invert,ancestry,Gastropoda
Walteria cf. leuckarti,4,,unresolved,
Epimenia sp.,4,,unresolved,
bacterial mat,4,,unresolved,
Umbellula sp. 1,4,reef,ancestry,Anthozoa;Gorgonacea
Periphylla periphylla,4,gelatinous,ancestry,Scyphozoa
Majidae,4,benthic_invert,ancestry,Decapoda
Ceriantharia sp. 2,4,reef,ancestry,Anthozoa
Octopodidae,4,benthic_invert,ancestry,Octopoda
Echinidae,4,,unresolved,
Strongylocentrotus purpuratus,4,benthic_invert,ancestry,Echinoidea
Lycenchelys crotalinus,4,fish,ancestry,Actinopterygii;Zoarcidae
Regadrella,4,reef,ancestry,Porifera
Anguilliformes,4,fish,ancestry,Actinopterygii
Beroe abyssicola,4,gelatinous,ancestry,Beroe;Ctenophora
Solmissus incisa,4,gelatinous,ancestry,Hydrozoa;Solmissus
Bathysaurus mollis,4,fish,ancestry,Actinopterygii
Dromalia alexandri,4,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Chonelasma,4,reef,ancestry,Porifera
trap,4,equipment,ancestry,equipment
Phronima,4,,unresolved,
Distichoptilum gracile,4,reef,ancestry,Anthozoa;Gorgonacea
Clavularia grandiflora,4,reef,ancestry,Anthozoa;Gorgonacea
Beroe forskalii,4,gelatinous,ancestry,Beroe;Ctenophora
Benthothuria,4,benthic_invert,ancestry,Holothuroidea
Bythograea thermydron,4,benthic_invert,ancestry,Decapoda
Sebastes aurora,4,fish,ancestry,Actinopterygii;Sebastes
Holothuroidea sp. 3,4,benthic_invert,ancestry,Holothuroidea
Lilyopsis fluoracantha,4,gelatinous,ancestry,Hydrozoa;Siphonophorae
Clavulariidae,4,reef,ancestry,Anthozoa;Gorgonacea
anchor,4,equipment,ancestry,equipment
Calyptrophora,4,reef,ancestry,Anthozoa;Gorgonacea
Cladorhizidae,4,reef,ancestry,Porifera
Bathyalcyon robustum,4,reef,ancestry,Anthozoa;Gorgonacea
plastic,4,debris,ancestry,trash
Poeobius,4,benthic_invert,ancestry,Polychaeta
Thrissacanthias penicillatus,4,benthic_invert,ancestry,Asteroidea
Hippasteria californica,4,benthic_invert,ancestry,Asteroidea
Bathyraja cf. microtrachys,4,fish,ancestry,Elasmobranchii;Rajiformes
Thecosomata,4,benthic_invert,ancestry,Gastropoda
Chrysopathes,4,,unresolved,
Chauliodus,3,fish,exact,Chauliodus
Echiura,3,benthic_invert,ancestry,Polychaeta
Hyalonema,3,reef,ancestry,Porifera
Hormiphora californensis,3,gelatinous,ancestry,Ctenophora
Anomura,3,benthic_invert,ancestry,Decapoda
Homarus gammarus,3,,unresolved,
Pleuronectidae,3,fish,ancestry,Actinopterygii;Pleuronectiformes
Trachymedusae,3,gelatinous,ancestry,Hydrozoa
Homolidae,3,benthic_invert,ancestry,Decapoda
fecal material,3,,unresolved,
Vitreosalpa gemini,3,gelatinous,ancestry,Salpida
Euphausiacea,3,,unresolved,
Docosaccus maculatus,3,reef,ancestry,Porifera
Malacostraca,3,,unresolved,
Asteronyx loveni,3,benthic_invert,ancestry,Ophiuroidea
Cerataspis monstrosus,3,benthic_invert,ancestry,Decapoda
Onykia robusta,3,,unresolved,
